ey_variant,panel_type,lag_rule,earnings_growth,payout,dividend_from,rmse_since_1960,rmse_since_1985,n_since_1960,n_since_1985,target_rmse_1960,target_rmse_1985,distance_to_target
ey_from_cape_lag_e,levels,fixed12,rolling_30y,rolling_10y,current_ey,0.058872264990444526,0.07028787986694629,676,376,0.041,0.032,0.04225375250311361
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,terminal_ey,0.05734625769871682,0.07188914991424411,676,376,0.041,0.032,0.043108519130606884
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,terminal_ey,0.05734625769871682,0.07188914991424411,676,376,0.041,0.032,0.043108519130606884
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current,terminal_ey,0.05734625769871832,0.07188914991424729,676,376,0.041,0.032,0.043108519130610395
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,terminal_ey,0.0597962187766755,0.0729655464842657,676,376,0.041,0.032,0.0450718741462476
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,terminal_ey,0.0597962187766755,0.0729655464842657,676,376,0.041,0.032,0.0450718741462476
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,avg_forecast_ey,0.0600977719940769,0.07285795546463839,676,376,0.041,0.032,0.045100969167947175
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,avg_forecast_ey,0.0600977719940769,0.07285795546463839,676,376,0.041,0.032,0.045100969167947175
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,avg_forecast_ey,0.05890628359711849,0.0735554902939854,676,376,0.041,0.032,0.045249240500078565
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,avg_forecast_ey,0.05890628359711849,0.0735554902939854,676,376,0.041,0.032,0.045249240500078565
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current,avg_forecast_ey,0.05890628359712076,0.07355549029398939,676,376,0.041,0.032,0.04524924050008312
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,current_ey,0.06150764484694866,0.07274572426445663,676,376,0.041,0.032,0.045615540586555696
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,current_ey,0.06150764484694866,0.07274572426445663,676,376,0.041,0.032,0.045615540586555696
ey_from_exp_log_ey,levels,fixed12,rolling_10y,rolling_10y,terminal_ey,0.061347494440121345,0.07728545743975489,676,376,0.041,0.032,0.049646683529905804
ey_from_exp_log_ey,levels,aic12,rolling_10y,rolling_10y,terminal_ey,0.061347494440121345,0.07728545743975489,676,376,0.041,0.032,0.049646683529905804
ey_from_cape_lag_e,levels,fixed12,rolling_10y,rolling_10y,terminal_ey,0.061347494440123974,0.07728545743975998,676,376,0.041,0.032,0.04964668352991153
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,current_ey,0.06297889708315793,0.07825133093579206,676,376,0.041,0.032,0.051207983072214476
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,current_ey,0.06297889708315793,0.07825133093579206,676,376,0.041,0.032,0.051207983072214476
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current,current_ey,0.06297889708316042,0.07825133093579727,676,376,0.041,0.032,0.05120798307222024
ey_from_exp_log_ey,levels,fixed12,rolling_10y,rolling_10y,avg_forecast_ey,0.0627545573944406,0.07868939908946503,676,376,0.041,0.032,0.05150884152029967
ey_from_exp_log_ey,levels,aic12,rolling_10y,rolling_10y,avg_forecast_ey,0.0627545573944406,0.07868939908946503,676,376,0.041,0.032,0.05150884152029967
ey_from_cape_lag_e,levels,fixed12,rolling_10y,rolling_10y,avg_forecast_ey,0.06275455739444363,0.07868939908947038,676,376,0.041,0.032,0.051508841520305805
ey_from_exp_log_ey,levels,aic12,rolling_10y,rolling_10y,current_ey,0.0664286741235969,0.082593812695033,676,376,0.041,0.032,0.056624653206038884
ey_from_exp_log_ey,levels,fixed12,rolling_10y,rolling_10y,current_ey,0.0664286741235969,0.082593812695033,676,376,0.041,0.032,0.056624653206038884
ey_from_cape_lag_e,levels,fixed12,rolling_10y,rolling_10y,current_ey,0.06642867412359943,0.08259381269503864,676,376,0.041,0.032,0.05662465320604505
ey_from_exp_log_ey,levels,fixed12,hist_avg,rolling_10y,terminal_ey,0.06831910330911131,0.0826288143726116,676,376,0.041,0.032,0.05752921214817964
ey_from_exp_log_ey,levels,aic12,hist_avg,rolling_10y,terminal_ey,0.06831910330911131,0.0826288143726116,676,376,0.041,0.032,0.05752921214817964
ey_from_cape_lag_e,levels,fixed12,hist_avg,rolling_10y,terminal_ey,0.06831910330911205,0.0826288143726129,676,376,0.041,0.032,0.05752921214818112
ey_from_exp_log_ey,levels,aic12,hist_avg,current,terminal_ey,0.06846649924983103,0.08260886216124201,676,376,0.041,0.032,0.057581815795410295
ey_from_exp_log_ey,levels,fixed12,hist_avg,current,terminal_ey,0.06846649924983103,0.08260886216124201,676,376,0.041,0.032,0.057581815795410295
ey_from_cape_lag_e,levels,fixed12,hist_avg,current,terminal_ey,0.06846649924983195,0.08260886216124314,676,376,0.041,0.032,0.05758181579541172
ey_from_exp_log_ey,levels,fixed12,hist_avg,current,avg_forecast_ey,0.07018318313813682,0.08470346127592229,676,376,0.041,0.032,0.060243779832748486
ey_from_exp_log_ey,levels,aic12,hist_avg,current,avg_forecast_ey,0.07018318313813682,0.08470346127592229,676,376,0.041,0.032,0.060243779832748486
ey_from_cape_lag_e,levels,fixed12,hist_avg,current,avg_forecast_ey,0.07018318313813772,0.0847034612759228,676,376,0.041,0.032,0.060243779832749374
ey_from_exp_log_ey,levels,aic12,hist_avg,rolling_10y,avg_forecast_ey,0.07019658982696839,0.08495856319060602,676,376,0.041,0.032,0.060473550191283164
ey_from_exp_log_ey,levels,fixed12,hist_avg,rolling_10y,avg_forecast_ey,0.07019658982696839,0.08495856319060602,676,376,0.041,0.032,0.060473550191283164
ey_from_cape_lag_e,levels,fixed12,hist_avg,rolling_10y,avg_forecast_ey,0.07019658982696933,0.08495856319060699,676,376,0.041,0.032,0.060473550191284475
ey_from_cape_lag_e,levels,fixed12,hist_avg,current,current_ey,0.07358398983796395,0.089611669050661,676,376,0.041,0.032,0.06618776929738174
ey_from_exp_log_ey,levels,aic12,hist_avg,current,current_ey,0.07358398983796376,0.08961166905066113,676,376,0.041,0.032,0.06618776929738175
ey_from_exp_log_ey,levels,fixed12,hist_avg,current,current_ey,0.07358398983796376,0.08961166905066113,676,376,0.041,0.032,0.06618776929738175
ey_from_exp_log_ey,levels,fixed12,hist_avg,rolling_10y,current_ey,0.07384731629834117,0.09019268078563482,676,376,0.041,0.032,0.06682315680227971
ey_from_exp_log_ey,levels,aic12,hist_avg,rolling_10y,current_ey,0.07384731629834117,0.09019268078563482,676,376,0.041,0.032,0.06682315680227971
ey_from_cape_lag_e,levels,fixed12,hist_avg,rolling_10y,current_ey,0.07384731629834153,0.09019268078563532,676,376,0.041,0.032,0.06682315680228032
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current_ratio_alt,current_ey,0.13870347395039093,0.054710015449140975,676,376,0.041,0.032,0.10030809351031919
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current_ratio_alt,current_ey,0.13870347395039093,0.054710015449140975,676,376,0.041,0.032,0.10030809351031919
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current_ratio_alt,avg_forecast_ey,0.14543687100826833,0.05356198145001457,676,376,0.041,0.032,0.10663948176003318
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current_ratio_alt,avg_forecast_ey,0.14543687100826833,0.05356198145001457,676,376,0.041,0.032,0.10663948176003318
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current_ratio_alt,terminal_ey,0.14624944039900023,0.05321120085709102,676,376,0.041,0.032,0.10736554263870024
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current_ratio_alt,terminal_ey,0.14624944039900023,0.05321120085709102,676,376,0.041,0.032,0.10736554263870024
ey_from_exp_log_ey,levels,aic12,hist_avg,current_ratio_alt,current_ey,0.14277917320137717,0.07197859940448795,676,376,0.041,0.032,0.10934938732293134
ey_from_exp_log_ey,levels,fixed12,hist_avg,current_ratio_alt,current_ey,0.14277917320137717,0.07197859940448795,676,376,0.041,0.032,0.10934938732293134
ey_from_cape_lag_e,levels,fixed12,hist_avg,current_ratio_alt,current_ey,0.14277917320137784,0.0719785994044939,676,376,0.041,0.032,0.10934938732293413
ey_from_exp_log_ey,levels,aic12,rolling_10y,current_ratio_alt,current_ey,0.1548892712348132,0.06061122048637117,676,376,0.041,0.032,0.11742813989890409
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current_ratio_alt,current_ey,0.1548892712348132,0.06061122048637117,676,376,0.041,0.032,0.11742813989890409
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current_ratio_alt,current_ey,0.15488927123481472,0.06061122048638518,676,376,0.041,0.032,0.11742813989890899
ey_from_exp_log_ey,levels,aic12,hist_avg,current_ratio_alt,avg_forecast_ey,0.1545277439542865,0.06587615169896181,676,376,0.041,0.032,0.1184742263164487
ey_from_exp_log_ey,levels,fixed12,hist_avg,current_ratio_alt,avg_forecast_ey,0.1545277439542865,0.06587615169896181,676,376,0.041,0.032,0.1184742263164487
ey_from_cape_lag_e,levels,fixed12,hist_avg,current_ratio_alt,avg_forecast_ey,0.1545277439542847,0.06587615169896906,676,376,0.041,0.032,0.11847422631644905
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current_ratio_alt,current_ey,0.15788193951741797,0.0555538654073439,676,376,0.041,0.032,0.11923159128763074
ey_from_exp_log_ey,levels,aic12,rolling_30y,current_ratio_alt,current_ey,0.15788193951741797,0.0555538654073439,676,376,0.041,0.032,0.11923159128763074
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current_ratio_alt,current_ey,0.15788193951741866,0.055553865407354505,676,376,0.041,0.032,0.11923159128763351
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current_ratio_alt,current_ey,0.15539869421438887,0.06572319618872292,676,376,0.041,0.032,0.11926573354966775
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current_ratio_alt,current_ey,0.15539869421438887,0.06572319618872292,676,376,0.041,0.032,0.11926573354966775
ey_from_cape_lag_e,levels,fixed12,hist_avg,current_ratio_alt,terminal_ey,0.15640903447571847,0.06348200181979531,676,376,0.041,0.032,0.11962592393456849
ey_from_exp_log_ey,levels,aic12,hist_avg,current_ratio_alt,terminal_ey,0.1564090344757205,0.06348200181978837,676,376,0.041,0.032,0.11962592393456861
ey_from_exp_log_ey,levels,fixed12,hist_avg,current_ratio_alt,terminal_ey,0.1564090344757205,0.06348200181978837,676,376,0.041,0.032,0.11962592393456861
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current_ratio_alt,current_ey,0.15822619001597696,0.06062302673042904,676,376,0.041,0.032,0.12067003474298327
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current_ratio_alt,current_ey,0.15822619001597696,0.06062302673042904,676,376,0.041,0.032,0.12067003474298327
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current_ratio_alt,avg_forecast_ey,0.16131926385292436,0.06287330450665715,676,376,0.041,0.032,0.1242170929673948
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current_ratio_alt,avg_forecast_ey,0.16131926385292436,0.06287330450665715,676,376,0.041,0.032,0.1242170929673948
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current_ratio_alt,terminal_ey,0.16197492099776234,0.062189431941324806,676,376,0.041,0.032,0.12468493618458776
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current_ratio_alt,terminal_ey,0.16197492099776234,0.062189431941324806,676,376,0.041,0.032,0.12468493618458776
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current_ratio_alt,avg_forecast_ey,0.16502925741327001,0.05597392493177728,676,376,0.041,0.032,0.12632500057835616
ey_from_exp_log_ey,levels,aic12,rolling_10y,current_ratio_alt,avg_forecast_ey,0.16502925741327001,0.05597392493177728,676,376,0.041,0.032,0.12632500057835616
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current_ratio_alt,avg_forecast_ey,0.16502925741326957,0.05597392493179049,676,376,0.041,0.032,0.12632500057835824
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current_ratio_alt,avg_forecast_ey,0.16506971252761415,0.057443774249402065,676,376,0.041,0.032,0.1266518030457496
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current_ratio_alt,avg_forecast_ey,0.16506971252761415,0.057443774249402065,676,376,0.041,0.032,0.1266518030457496
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current_ratio_alt,terminal_ey,0.16573561822902166,0.056292483498678526,676,376,0.041,0.032,0.1270791061091862
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current_ratio_alt,terminal_ey,0.16573561822902166,0.056292483498678526,676,376,0.041,0.032,0.1270791061091862
ey_from_exp_log_ey,levels,aic12,rolling_10y,current_ratio_alt,terminal_ey,0.16692049989759522,0.05519449251103695,676,376,0.041,0.032,0.12803888775409142
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current_ratio_alt,terminal_ey,0.16692049989759522,0.05519449251103695,676,376,0.041,0.032,0.12803888775409142
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current_ratio_alt,terminal_ey,0.1669204998975944,0.05519449251104767,676,376,0.041,0.032,0.12803888775409256
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current_ratio_alt,avg_forecast_ey,0.16942257419642903,0.052721689769558384,676,376,0.041,0.032,0.13008361153559328
ey_from_exp_log_ey,levels,aic12,rolling_30y,current_ratio_alt,avg_forecast_ey,0.16942257419642903,0.052721689769558384,676,376,0.041,0.032,0.13008361153559328
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current_ratio_alt,avg_forecast_ey,0.16942257419642814,0.052721689769568945,676,376,0.041,0.032,0.13008361153559408
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current_ratio_alt,terminal_ey,0.17140099512680163,0.05223386040259497,676,376,0.041,0.032,0.13196146648492443
ey_from_exp_log_ey,levels,aic12,rolling_30y,current_ratio_alt,terminal_ey,0.171400995126803,0.05223386040258631,676,376,0.041,0.032,0.1319614664849245
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current_ratio_alt,terminal_ey,0.171400995126803,0.05223386040258631,676,376,0.041,0.032,0.1319614664849245
