date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns,real_earnings_lag6,nominal_earnings_lag6,cape_lagE,earnings_yield,log_ey,cpi_lag2,infl_ann,exp_infl_10y,real_yield,log_real_yield,yoy_inflation,log_yoy_inflation,sp_ret,sp_vol_12m,log_sp_vol,d_real_yield,ry_vol_12m,log_ry_vol,log_nominal_earnings_growth,nominal_earnings_growth_30y_avg,nominal_earnings_growth_hist_avg,real_dividend_lag6,real_dividend_ttm,dividend_yield,earnings_ttm,payout_ratio,current_payout_ratio,nominal_total_return_price,ten_year_annualized_stock_nominal_return
1939-05-01,11.23,0.526667,0.743333,13.8,1939.374999999938,2.31,266.86284365942026,12.515392099873187,9710.129389562282,17.664110255199276,642.7301522289848,14.502929499657771,18.782552949801374,0.0252130622379636,1.0030325692918127,15.41261809344245,0.0285398931944711,-0.0309250005413058,0.059464893735777,14.835135644410714,0.633333,14.145764001659625,0.07069254088239256,-2.649415215430638,13.9,0.0,0.007075774601869964,0.016024225398130035,0.015897192767826262,-0.014184397163120477,-0.014285957247476428,0.03626870773745266,0.2687439193573656,-1.31399632544324,0.0019997373483194494,0.007502054740791853,-4.892578330522636,-0.6051789339299161,0.00887914370397875,0.010599885305846707,13.117390000000002,200.73105974724828,0.7521881165421003,231.45017510255798,0.8672754715277371,20.711679321936487,408.617219053362,0.0861528049132767
1939-06-01,11.43,0.53,0.76,13.8,1939.4583333332712,2.2975000000000003,271.61552119565215,12.594595471014491,9921.250487153684,18.06017463768116,659.6806973085563,14.833828921489788,19.17798664484769,0.0232257148276565,1.0030228178389522,15.45935792577906,0.0207527260705695,-0.0314451162150233,0.0521978422855928,14.991302857142855,0.64,14.47103477353799,0.06910355863622268,-2.672149049733964,13.8,-0.08664297568184424,0.006304015838663455,0.016670984161336548,0.016533548658262027,-0.028169014084506894,-0.028573372444055885,0.01765270905636735,0.26852304195960464,-1.314818551361109,0.0006467587632065126,0.007068029286606594,-4.952173580983952,-0.5685047353526685,0.007658885359888022,0.009879605926918207,11.946194464285714,194.45865698931178,0.7159335229934737,220.70770938331194,0.8810687108876094,18.665928850446427,417.5015204174636,0.07838150276244216
1939-07-01,11.71,0.54,0.776667,13.8,1939.5416666666044,2.285,278.26926974637684,12.832229347826086,10203.350785344845,18.456239020163043,676.7383300086614,15.27095259857026,19.706503149702893,0.0202835603672908,1.0030130669336272,15.506088748695856,0.0249622474954036,-0.0307438097296876,0.0557060572250912,15.537852965839283,0.663333,14.90022822831369,0.06711306596631732,-2.7013765301705934,13.8,0.0,0.004331031005042519,0.01851896899495748,0.01834958095405698,-0.02127659574468077,-0.021506205220963505,0.024201699802906883,0.1945491392254336,-1.6370705040001514,0.0018479848336209331,0.006885663053330377,-4.97831384739628,-0.48435109698129303,0.006573118524665194,0.009265654743181298,12.024266358696432,188.16169383943426,0.6761856744401946,211.3809491602428,0.8901544561463456,18.127043820669908,429.3727360023873,0.08191911851758804
1939-08-01,11.54,0.55,0.793333,13.8,1939.6249999999377,2.2725,274.22949384057966,13.069863224637682,10095.1598326679,18.852279639257244,694.0054970129917,15.120082343333989,19.47632269488883,0.0210619667005671,1.0030033165763537,15.55280963197444,0.0298263132313603,-0.0312637144458232,0.0610900276771835,16.2001417969964,0.686667,14.756301036097486,0.06776766057792924,-2.6916701804545986,13.8,0.0,0.007974252609299438,0.01475074739070056,0.014643013263527191,-0.02127659574468077,-0.021506205220963505,-0.014623916529672567,0.19454057288702573,-1.6371145367162196,-0.003768221604256921,0.0073978090532211774,-4.9065713964995705,-0.3989678360265454,0.005627162178161429,0.00875916157845459,12.18942902721223,182.05499194620322,0.6638782335062723,203.78070317585622,0.8933868080192833,17.751587053422153,424.81989386857305,0.08751128282999066
1939-09-01,12.77,0.56,0.81,14.1,1939.708333333271,2.26,297.00189769503544,13.02435886524823,10973.43141711206,18.838804787234047,696.0438095427386,16.452835577060966,21.14500033972482,0.0179343735115274,1.0029935667676464,15.267614969696748,0.0227410051069487,-0.0296961091962515,0.0524371143032003,16.75062392086331,0.71,16.060825830677985,0.0622632989450572,-2.7763831287829963,13.8,0.0,0.009779870441171613,0.012820129558828386,0.012738647367087453,-0.02127659574468077,-0.021506205220963505,0.10127940896449442,0.2154543753043936,-1.5350061073780858,-0.0019306178318721744,0.007428911839537651,-4.90237588595279,-0.3120311014620675,0.004826288359148232,0.00836165195882569,12.268062589928055,176.1819832595355,0.5932015405519091,197.97127691941455,0.8899370959316057,17.27896139426487,471.81758865530423,0.07816082441984973
1939-10-01,12.9,0.58,0.84,14.0,1939.791666666604,2.2475,302.1684482142858,13.585868214285714,11206.151884826462,19.676085,729.7029134305601,16.82120480626564,21.569692820968022,0.0160312616715603,1.0029838175080226,15.422700448737618,0.024637494911377,-0.0296813687281678,0.0543188636395448,17.26806963610507,0.726667,16.421648069768963,0.0608952277963456,-2.7986004686446475,13.8,0.0,0.009495245083334191,0.01297975491666581,0.012896239792075784,-0.02127659574468077,-0.021506205220963505,0.010128641323178663,0.1869767290520536,-1.6767711134432002,0.00015962535783742467,0.007108395306497986,-4.946478755928611,-0.2176229303713628,0.004192547072474077,0.008081968069803179,12.436164965344204,170.9127432264114,0.5656207464295112,194.37777743426963,0.8792812917320597,17.113980633968797,478.4065317492899,0.08002118684002202
1939-11-01,12.67,0.6,0.87,14.0,1939.8749999999377,2.2350000000000003,296.78094875,14.05434642857143,11049.786974805626,20.37880232142857,758.7462247893365,16.59923850994664,21.237270183870688,0.0169512152556566,1.0029740687979982,15.46871897235755,0.027644050803828,-0.0301988126802535,0.0578428634840816,17.664110255199276,0.743333,16.208196797942772,0.061697177820972976,-2.7855170894577106,14.1,0.25807446265156153,0.01098675995444565,0.011363240045554352,0.011299163388786733,0.0,0.0,-0.017990317034578825,0.18771978238248582,-1.6728049473231283,-0.0016165148711114585,0.007161888710419131,-4.938981546423704,-0.11828201450855418,0.003741299036604143,0.007925770316307064,12.515392099873187,165.90727936729525,0.5590226733423206,192.58286758462847,0.8614851437622771,16.83685790873429,471.7310917713928,0.08364642986162729
1939-12-01,12.37,0.62,0.9,14.0,1939.9583333332707,2.2225,289.7537755357143,14.522824642857143,10833.209987269973,21.081519642857145,788.1882771659639,16.28041290128383,20.784015129907633,0.018823727111642,1.0029643206380907,15.51472400679824,0.0338597044710311,-0.0294881077911223,0.0633478122621534,18.06017463768116,0.76,15.901203088273352,0.06288832325759484,-2.7663947722928053,14.0,-0.08540961322636788,0.020803130024736473,0.0014218699752635289,0.001420860075334499,0.0,0.0,-0.023962807928651155,0.18693304358269794,-1.6770047819522984,-0.009941370070290823,0.012027497410626295,-4.420559799678463,-0.013072081567352775,0.0034895481590674,0.00789984704237662,12.594595471014491,161.2911149092317,0.5566488809715316,192.73454878259332,0.8368562664453577,16.5718361460717,462.485112729833,0.08928119305599735
1940-01-01,12.3,0.623333,0.93,13.9,1940.041666666604,2.21,290.18686510791366,14.70593895839928,10895.220547714744,21.940958093525182,823.7849682418467,16.378480342613663,20.860773184593903,0.0184499261584295,1.0037715554144664,15.672662210584337,0.0364006961891563,-0.0298786582069966,0.0662793543961529,18.456239020163043,0.776667,15.99991756516284,0.06250032201274172,-2.772583570049186,14.0,0.0,0.018150601780674756,0.003949398219325242,0.003941619819450768,0.0,0.0,-0.005674924026024544,0.1864577138993576,-1.679550800730649,0.002527528244061713,0.011681985894359962,-4.449707290832651,0.07576047506599294,0.0033928699630554706,0.007983522292714002,12.832229347826086,157.53279964558618,0.5428667475593819,194.44518354743724,0.8101656043702115,16.522176618584396,461.8100570715209,0.09227753672918948
1940-02-01,12.22,0.626667,0.96,14.0,1940.1249999999372,2.1883333333333335,286.24018892857146,14.678991855589286,10792.968034483609,22.486954285714287,847.8927424798906,16.21611984773105,20.60653362319494,0.0205553672115352,1.0037555134840217,15.619402720856597,0.039971189749723,-0.0295395177350343,0.0695107074847574,18.852279639257244,0.793333,15.85667566617495,0.06306492111288964,-2.7635905893295214,14.0,0.0,0.018916024111228266,0.0029673092221050683,0.0029629154497369118,0.0,0.0,-0.006525308634922515,0.18640483195771168,-1.6798344545467165,-0.0009820889972201735,0.011678781930348403,-4.44998159380554,0.1689653454442433,0.0034648684223585005,0.008181775769501598,13.069863224637682,154.63231031857492,0.540218726438732,197.71474811577247,0.7820980063056778,16.474624432158606,460.7671266395846,0.0952551170719298
