date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns
1933-01-01,7.09,0.495,0.4125,12.9,1933.0416666666104,3.31,180.23700600775192,12.583542732558138,4825.361187306439,10.486285610465115,280.7421001077442,8.72804616281353,11.69196799317569,0.05540385057403729,1.0040962469810495,12.705583951645876,0.06466130799872549,0.0058956312347697715,0.05876567676395572
1933-02-01,6.25,0.49,0.415,12.7,1933.1249999999436,3.2941666666666674,161.38521161417324,12.652600590551183,4348.883363859439,10.715978051181102,288.7658553602667,7.826051751316598,10.523079525637067,0.06724674762850746,1.0040840524872445,12.958536707401464,0.08251673619806077,0.0041137524297429895,0.07840298376831778
1933-03-01,6.23,0.485,0.4175,12.6,1933.2083333332769,3.2783333333333333,162.1455152777778,12.622885218253968,4397.717412341549,10.86609191468254,294.7105970549914,7.874681322943169,10.626790503904564,0.06584759037932625,1.0040718590262971,13.114725607436442,0.0836647404458224,0.001346936196712667,0.08231780424910973
1933-04-01,6.89,0.48,0.42,12.6,1933.2916666666101,3.2624999999999997,179.3230498015873,12.492752380952382,4891.842964290036,10.931158333333334,298.19652322232446,8.723101646068113,11.805335595835265,0.053078308378454654,1.0040596665994306,13.168126921278493,0.0749355716515323,-1.7958247594429544e-05,0.07495352989912674
1933-05-01,8.87,0.475,0.4225,12.6,1933.3749999999434,3.2466666666666666,230.85565337301588,12.362619543650792,6325.730412760877,10.996224751984126,301.3101577667949,11.249651251932445,15.24680814253284,0.02749016316258681,1.0040474752078703,13.22158512631787,0.05153694644579665,-0.000797329999828178,0.05233427644562483
1933-06-01,10.39,0.47,0.425,12.7,1933.4583333332766,3.2308333333333334,268.2867757874016,12.136167913385828,7379.101627310273,10.97419438976378,301.8400569400256,13.098875517269523,17.76566412357992,0.015294045467209812,1.0040352848528435,13.17057082444881,0.03769976604681613,-0.00021244585716229114,0.03791221190397842
1933-07-01,11.23,0.465,0.4275,13.1,1933.54166666661,3.215,281.1226902671756,11.640431965648856,7758.827804017064,10.701687452290077,295.36054196057836,13.754304493874535,18.66129596476302,0.013692183456504511,1.0040230955355782,12.81994018575421,0.035626183953910706,0.0032628797449480995,0.03236330420896261
1933-08-01,10.67,0.46,0.43,13.2,1933.6249999999432,3.1991666666666667,265.08058958333334,11.428029166666667,7342.3587971725965,10.682722916666668,295.89637139495943,12.999527050367739,17.646361139482384,0.01938021980086088,1.0040109072573054,12.774004544807035,0.0371296479508898,0.004401284866152322,0.03272836308473748
1933-09-01,10.58,0.455,0.4325,13.2,1933.7083333332764,3.1833333333333336,262.84467083333334,11.303811458333335,7306.518635908672,10.744831770833335,298.68329962481107,12.922920614885994,17.550453640523486,0.019426539845217056,1.0039987200192555,12.825239892340653,0.03965940007986868,0.0036203071778433404,0.03603909290202534
1933-10-01,9.55,0.45,0.435,13.2,1933.7916666666097,3.1675000000000004,237.25582291666672,11.17959375,6621.100890526882,10.806940625,301.589412291015,11.696253568143696,15.896625559601677,0.027136042354103725,1.0039865338226626,12.87652443584991,0.04942704143210519,0.003419398523857975,0.046007642908247215
